00007FFDC1D286C0 Export 97   BasepProcessInvalidImage
00007FFDC1CFCEE0 Export 98   BasepQueryAppCompat
00007FFDC1D5FCF0 Export 99   BasepQueryModuleChpeSettings
00007FFDC1D10B90 Export 100  BasepReleaseAppXContext
00007FFDC1D04B90 Export 101  BasepReleaseSxsCreateProcessUtilityStruct
00007FFDC1D33120 Export 102  BasepReportFault
00007FFDC1D0E3B0 Export 103  BasepSetFileEncryptionCompression
00007FFDC1D268C0 Export 104  Beep
00007FFDC1D38C60 Export 105  BeginUpdateResourceA
00007FFDC1D38CD0 Export 106  BeginUpdateResourceW
00007FFDC1D14260 Export 107  BindIoCompletionCallback
00007FFDC1D31610 Export 108  BuildCommDCBA
00007FFDC1D31670 Export 109  BuildCommDCBAndTimeoutsA
00007FFDC1D316B0 Export 110  BuildCommDCBAndTimeoutsW
00007FFDC1D31740 Export 111  BuildCommDCBW
00007FFDC1D506A0 Export 112  CallNamedPipeA
00007FFDC1D15030 Export 113  CallNamedPipeW
00007FFDC1D29810 Export 114  CallbackMayRunLong
00007FFDC1D28610 Export 115  CancelDeviceWakeupRequest
00007FFDC1D10C70 Export 116  CancelIo
00007FFDC1D10040 Export 117  CancelIoEx
00007FFDC1D29850 Export 118  CancelSynchronousIo
00007FFDC1D8DE7D Export 119  CancelThreadpoolIo
00007FFDC1D33080 Export 120  CancelTimerQueueTimer
00007FFDC1D14920 Export 121  CancelWaitableTimer
00007FFDC1D8DED4 Export 122  CeipIsOptedIn
00007FFDC1D11280 Export 123  ChangeTimerQueueTimer
00007FFDC1D29870 Export 124  CheckAllowDecryptedRemoteDestinationPolicy
00007FFDC1D08610 Export 125  CheckElevation
00007FFDC1D105F0 Export 126  CheckElevationEnabled
00007FFDC1D50BA0 Export 127  CheckForReadOnlyResource
00007FFDC1D2BD40 Export 128  CheckForReadOnlyResourceFilter
00007FFDC1D8DF9E Export 129  CheckIsMSIXPackage
00007FFDC1D28420 Export 130  CheckNameLegalDOS8Dot3A
00007FFDC1D284D0 Export 131  CheckNameLegalDOS8Dot3W
00007FFDC1CF1250 Export 132  CheckRemoteDebuggerPresent
00007FFDC1D29890 Export 133  CheckTokenCapability
00007FFDC1D298B0 Export 134  CheckTokenMembershipEx
00007FFDC1D15090 Export 135  ClearCommBreak
00007FFDC1D150A0 Export 136  ClearCommError
00007FFDC1D58A40 Export 137  CloseConsoleHandle
00007FFDC1D148E0 Export 138  CloseHandle
00007FFDC1D8E081 Export 139  ClosePackageInfo
00007FFDC1D12210 Export 140  ClosePrivateNamespace
00007FFDC1D113E0 Export 141  CloseProfileUserMapping
00007FFDC1D152B0 Export 142  ClosePseudoConsole
00007FFDC1D8E0E9 Export 143  CloseState
00007FFDC1D8E10F Export 144  CloseThreadpool
00007FFDC1D8E13F Export 145  CloseThreadpoolCleanupGroup
00007FFDC1D8E17E Export 146  CloseThreadpoolCleanupGroupMembers
00007FFDC1D8E1B3 Export 147  CloseThreadpoolIo
